

i      x0        x1        u0             u1             
169     0.088     0.097     7.985e-05     -2.739e-05     
170     0.078     0.106     6.848e-05     -3.292e-05     
171     0.091     0.109     7.326e-05     -2.979e-05     
172     0.101     0.100     8.422e-05     -2.424e-05     
173     0.104     0.114     7.825e-05     -2.732e-05     
174     0.115     0.104     8.941e-05     -2.177e-05     
175     0.118     0.119     8.373e-05     -2.549e-05     
176     0.130     0.108     9.474e-05     -2.022e-05     
177     0.133     0.124     8.960e-05     -2.435e-05     
178     0.145     0.113     1.001e-04     -1.958e-05     
179     0.148     0.129     9.586e-05     -2.381e-05     
180     0.136     0.140     8.567e-05     -2.862e-05     
181     0.153     0.147     9.267e-05     -2.833e-05     
182     0.168     0.135     1.039e-04     -2.349e-05     
183     0.171     0.154     1.001e-04     -2.857e-05     
184     0.156     0.166     8.942e-05     -3.356e-05     
185     0.175     0.173     9.800e-05     -3.346e-05     
186     0.190     0.160     1.089e-04     -2.866e-05     
187     0.195     0.180     1.071e-04     -3.372e-05     
188     0.211     0.165     1.180e-04     -2.889e-05     
189     0.217     0.188     1.167e-04     -3.435e-05     
190     0.199     0.204     1.051e-04     -3.961e-05     
191     0.224     0.212     1.164e-04     -4.008e-05     
192     0.204     0.229     1.039e-04     -4.582e-05     
193     0.229     0.238     1.158e-04     -4.641e-05     
194     0.250     0.219     1.286e-04     -4.072e-05     
195     0.257     0.247     1.283e-04     -4.726e-05     
196     0.234     0.267     1.154e-04     -5.304e-05     
197     0.263     0.277     1.284e-04     -5.393e-05     
198     0.286     0.256     1.415e-04     -4.827e-05     
199     0.292     0.287     1.419e-04     -5.509e-05     
200     0.314     0.266     1.543e-04     -4.966e-05     
201     0.321     0.297     1.548e-04     -5.665e-05     
202     0.298     0.318     1.425e-04     -6.196e-05     
203     0.330     0.330     1.567e-04     -6.359e-05     
204     0.356     0.302     1.711e-04     -5.693e-05     
205     0.363     0.340     1.718e-04     -6.494e-05     
206     0.337     0.364     1.580e-04     -7.073e-05     
207     0.371     0.375     1.731e-04     -7.229e-05     
208     0.402     0.347     1.893e-04     -6.577e-05     
209     0.406     0.387     1.889e-04     -7.394e-05     
210     0.377     0.412     1.744e-04     -7.980e-05     
211     0.414     0.424     1.906e-04     -8.138e-05     
212     0.442     0.399     2.047e-04     -7.574e-05     
213     0.451     0.436     2.069e-04     -8.309e-05     
214     0.385     0.449     1.764e-04     -8.723e-05     
215     0.479     0.409     2.210e-04     -7.739e-05     
216     0.488     0.448     2.233e-04     -8.486e-05     
217     0.517     0.421     2.376e-04     -7.922e-05     
218     0.527     0.460     2.399e-04     -8.672e-05     
219     0.497     0.487     2.256e-04     -9.243e-05     
220     0.536     0.500     2.425e-04     -9.425e-05     
221     0.505     0.528     2.281e-04     -1.001e-04     
222     0.545     0.541     2.454e-04     -1.018e-04     
223     0.556     0.432     2.544e-04     -8.114e-05     
224     0.514     0.569     2.309e-04     -1.078e-04     
225     0.554     0.582     2.486e-04     -1.094e-04     
226     0.081     0.118     6.281e-05     -3.516e-05     
227     0.547     0.392     2.521e-04     -7.351e-05     
228     0.587     0.404     2.690e-04     -7.560e-05     
229     0.577     0.363     2.669e-04     -6.784e-05     
230     0.523     0.611     2.341e-04     -1.155e-04     
231     0.564     0.624     2.520e-04     -1.171e-04     
232     0.596     0.595     2.665e-04     -1.111e-04     
233     0.606     0.638     2.701e-04     -1.188e-04     
234     0.482     0.598     2.162e-04     -1.139e-04     
235     0.618     0.375     2.840e-04     -7.013e-05     
236     0.491     0.640     2.195e-04     -1.217e-04     
237     0.449     0.627     2.010e-04     -1.202e-04     
238     0.637     0.609     2.842e-04     -1.131e-04     
239     0.648     0.651     2.884e-04     -1.207e-04     
240     0.608     0.334     2.821e-04     -6.237e-05     
241     0.649     0.346     2.993e-04     -6.469e-05     
242     0.659     0.388     3.012e-04     -7.248e-05     
243     0.458     0.670     2.047e-04     -1.282e-04     
244     0.415     0.656     1.858e-04     -1.268e-04     
245     0.141     0.098     1.053e-04     -1.568e-05     
246     0.567     0.322     2.650e-04     -5.996e-05     
247     0.598     0.293     2.802e-04     -5.456e-05     
248     0.557     0.281     2.632e-04     -5.205e-05     
249     0.615     0.682     2.739e-04     -1.267e-04     
250     0.658     0.696     2.927e-04     -1.285e-04     
251     0.680     0.623     3.024e-04     -1.151e-04     
252     0.425     0.700     1.897e-04     -1.349e-04     
253     0.382     0.686     1.707e-04     -1.335e-04     
254     0.691     0.358     3.168e-04     -6.692e-05     
255     0.701     0.402     3.186e-04     -7.484e-05     
256     0.373     0.642     1.668e-04     -1.254e-04     
257     0.339     0.672     1.516e-04     -1.322e-04     
258     0.330     0.628     1.478e-04     -1.240e-04     
259     0.296     0.657     1.324e-04     -1.308e-04     
260     0.288     0.614     1.289e-04     -1.227e-04     
261     0.305     0.702     1.362e-04     -1.390e-04     
262     0.588     0.251     2.785e-04     -4.672e-05     
263     0.547     0.240     2.615e-04     -4.422e-05     
264     0.626     0.726     2.786e-04     -1.346e-04     
265     0.669     0.740     2.974e-04     -1.364e-04     
266     0.734     0.372     3.343e-04     -6.917e-05     
267     0.724     0.327     3.326e-04     -6.124e-05     
268     0.744     0.416     3.363e-04     -7.710e-05     
269     0.262     0.688     1.168e-04     -1.376e-04     
270     0.271     0.733     1.207e-04     -1.459e-04     
271     0.203     0.142     1.194e-04     -2.339e-05     
272     0.229     0.151     1.298e-04     -2.481e-05     
273     0.223     0.127     1.319e-04     -1.934e-05     
274     0.244     0.134     1.400e-04     -2.065e-05     
275     0.236     0.109     1.420e-04     -1.537e-05     
276     0.260     0.118     1.500e-04     -1.738e-05     
277     0.213     0.107     1.331e-04     -1.481e-05     
278     0.392     0.731     1.747e-04     -1.417e-04     
279     0.435     0.745     1.940e-04     -1.430e-04     
280     0.266     0.140     1.486e-04     -2.203e-05     
281     0.284     0.124     1.587e-04     -1.887e-05     
282     0.290     0.150     1.571e-04     -2.416e-05     
283     0.309     0.130     1.681e-04     -2.046e-05     
284     0.703     0.709     3.118e-04     -1.304e-04     
285     0.713     0.755     3.167e-04     -1.384e-04     
286     0.747     0.723     3.311e-04     -1.326e-04     
287     0.758     0.769     3.364e-04     -1.408e-04     
288     0.315     0.158     1.670e-04     -2.611e-05     
289     0.336     0.137     1.786e-04     -2.215e-05     
290     0.343     0.166     1.783e-04     -2.797e-05     
291     0.366     0.144     1.904e-04     -2.381e-05     
292     0.373     0.176     1.903e-04     -3.012e-05     
293     0.397     0.151     2.031e-04     -2.571e-05     
294     0.405     0.186     2.034e-04     -3.243e-05     
295     0.431     0.161     2.165e-04     -2.793e-05     
296     0.595     0.445     2.708e-04     -8.336e-05     
297     0.348     0.437     1.598e-04     -8.579e-05     
298     0.240     0.297     1.154e-04     -5.980e-05     
299     0.211     0.287     1.018e-04     -5.932e-05     
300     0.216     0.317     1.025e-04     -6.591e-05     
301     0.186     0.307     8.835e-05     -6.582e-05     
302     0.192     0.338     8.983e-05     -7.205e-05     
303     0.163     0.327     7.608e-05     -7.188e-05     
304     0.168     0.358     7.755e-05     -7.796e-05     
305     0.157     0.298     7.443e-05     -6.629e-05     
306     0.199     0.370     9.191e-05     -7.834e-05     
307     0.174     0.392     7.931e-05     -8.435e-05     
308     0.206     0.404     9.436e-05     -8.485e-05     
309     0.179     0.427     8.118e-05     -9.088e-05     
310     0.213     0.439     9.684e-05     -9.161e-05     
311     0.184     0.464     8.312e-05     -9.779e-05     
312     0.179     0.220     9.209e-05     -4.566e-05     
313     0.106     0.128     7.300e-05     -3.095e-05     
314     0.228     0.719     1.013e-04     -1.445e-04     
315     0.221     0.672     9.861e-05     -1.359e-04     
316     0.236     0.764     1.050e-04     -1.528e-04     
317     0.401     0.776     1.787e-04     -1.500e-04     
318     0.135     0.316     6.303e-05     -7.200e-05     
319     0.130     0.289     6.135e-05     -6.708e-05     
320     0.639     0.771     2.847e-04     -1.425e-04     
321     0.578     0.210     2.767e-04     -3.889e-05     
322     0.619     0.222     2.939e-04     -4.149e-05     
323     0.767     0.341     3.503e-04     -6.340e-05     
324     0.757     0.296     3.487e-04     -5.546e-05     
325     0.255     0.097     1.516e-04     -1.332e-05     
326     0.445     0.790     1.984e-04     -1.513e-04     
327     0.710     0.446     3.205e-04     -8.288e-05     
328     0.754     0.460     3.384e-04     -8.519e-05     
329     0.788     0.429     3.543e-04     -7.923e-05     
330     0.798     0.474     3.566e-04     -8.740e-05     
331     0.220     0.476     9.957e-05     -9.862e-05     
332     0.191     0.502     8.587e-05     -1.047e-04     
333     0.516     0.269     2.456e-04     -4.963e-05     
334     0.355     0.474     1.616e-04     -9.312e-05     
335     0.300     0.106     1.675e-04     -1.587e-05     
336     0.156     0.102     1.099e-04     -1.552e-05     
337     0.152     0.087     1.146e-04     -1.208e-05     
338     0.137     0.082     1.113e-04     -1.205e-05     
339     0.149     0.073     1.196e-04     -9.190e-06     
340     0.162     0.077     1.227e-04     -9.324e-06     
341     0.159     0.064     1.268e-04     -6.926e-06     
342     0.172     0.067     1.297e-04     -7.273e-06     
343     0.146     0.060     1.247e-04     -6.860e-06     
344     0.155     0.051     1.307e-04     -5.023e-06     
345     0.143     0.048     1.290e-04     -5.120e-06     
346     0.135     0.056     1.233e-04     -7.131e-06     
347     0.146     0.414     6.615e-05     -9.025e-05     
348     0.192     0.750     8.539e-05     -1.513e-04     
349     0.793     0.736     3.508e-04     -1.352e-04     
350     0.782     0.690     3.457e-04     -1.268e-04     
351     0.804     0.783     3.565e-04     -1.436e-04     
352     0.768     0.816     3.423e-04     -1.491e-04     
353     0.110     0.307     5.073e-05     -7.247e-05     
354     0.105     0.281     4.952e-05     -6.794e-05     
